Sample,Isotope,Evaluation,mg / gIU
AG616-A1,155Gd,ENDF VII.1,1.138E-02
AG616-A1,156Gd,ENDF VII.1,1.431E-01
AG616-A1,157Gd,ENDF VII.1,1.422E-04
AG616-A1,158Gd,ENDF VII.1,2.739E-02
AG616-A1,160Gd,ENDF VII.1,1.594E-03
AG616-A1,109Ag,ENDF VII.1,1.019E-01
AG616-A1,95Mo,ENDF VII.1,1.021E+00
AG616-A1,103Rh,ENDF VII.1,6.444E-01
AG616-A1,99Tc,ENDF VII.1,1.097E+00
AG616-A1,233U,ENDF VII.0 + mod-Wright,8.027E-06
AG616-A1,234U,ENDF VII.0 + mod-Wright,2.373E-01
AG616-A1,235U,ENDF VII.0 + mod-Wright,8.361E+00
AG616-A1,236U,ENDF VII.0 + mod-Wright,5.449E+00
AG616-A1,238U,ENDF VII.0 + mod-Wright,9.256E+02
AG616-A1,238Pu,ENDF VII.0 + mod-Wright,2.519E-01
AG616-A1,239Pu,ENDF VII.0 + mod-Wright,6.048E+00
AG616-A1,240Pu,ENDF VII.0 + mod-Wright,2.926E+00
AG616-A1,241Pu,ENDF VII.0 + mod-Wright,7.170E-01
AG616-A1,242Pu,ENDF VII.0 + mod-Wright,7.908E-01
AG616-A1,237Np,ENDF VII.0 + mod-Wright,6.435E-01
AG616-A1,241Am,ENDF VII.0 + mod-Wright,1.031E+00
AG616-A1,243Am,ENDF VII.0 + mod-Wright,1.982E-01
AG616-A1,244Cm,ENDF VII.0 + mod-Wright,4.014E-02
AG616-A1,133Cs,ENDF VII.0 + mod-Wright,1.514E+00
AG616-A1,134Cs,ENDF VII.0 + mod-Wright,4.934E-04
AG616-A1,135Cs,ENDF VII.0 + mod-Wright,5.776E-01
AG616-A1,137Cs,ENDF VII.0 + mod-Wright,1.113E+00
AG616-A1,140Ce,ENDF VII.0 + mod-Wright,1.715E+00
AG616-A1,142Ce,ENDF VII.0 + mod-Wright,1.555E+00
AG616-A1,142Nd,ENDF VII.0 + mod-Wright,3.247E-02
AG616-A1,143Nd,ENDF VII.0 + mod-Wright,1.052E+00
AG616-A1,144Nd,ENDF VII.0 + mod-Wright,1.855E+00
AG616-A1,145Nd,ENDF VII.0 + mod-Wright,8.931E-01
AG616-A1,146Nd,ENDF VII.0 + mod-Wright,9.942E-01
AG616-A1,148Nd,ENDF VII.0 + mod-Wright,5.142E-01
AG616-A1,150Nd,ENDF VII.0 + mod-Wright,2.496E-01
AG616-A1,147Sm,ENDF VII.0 + mod-Wright,3.261E-01
AG616-A1,148Sm,ENDF VII.0 + mod-Wright,2.111E-01
AG616-A1,149Sm,ENDF VII.0 + mod-Wright,3.731E-03
AG616-A1,150Sm,ENDF VII.0 + mod-Wright,4.029E-01
AG616-A1,151Sm,ENDF VII.0 + mod-Wright,1.232E-02
AG616-A1,152Sm,ENDF VII.0 + mod-Wright,1.330E-01
AG616-A1,154Sm,ENDF VII.0 + mod-Wright,5.320E-02
AG616-A1,151Eu,ENDF VII.0 + mod-Wright,1.828E-03
AG616-A1,152Eu,ENDF VII.0 + mod-Wright,4.790E-06
AG616-A1,153Eu,ENDF VII.0 + mod-Wright,1.633E-01
AG616-A1,154Eu,ENDF VII.0 + mod-Wright,7.648E-03
AG616-A1,155Eu,ENDF VII.0 + mod-Wright,9.125E-04
AG616-A1,152Gd,ENDF VII.0 + mod-Wright,3.902E-05
AG616-A1,154Gd,ENDF VII.0 + mod-Wright,2.804E-02
AG616-A1,155Gd,ENDF VII.0 + mod-Wright,1.148E-02
AG616-A1,156Gd,ENDF VII.0 + mod-Wright,1.441E-01
AG616-A1,157Gd,ENDF VII.0 + mod-Wright,1.431E-04
AG616-A1,158Gd,ENDF VII.0 + mod-Wright,2.743E-02
AG616-A1,160Gd,ENDF VII.0 + mod-Wright,1.595E-03
AG616-A1,109Ag,ENDF VII.0 + mod-Wright,1.020E-01
AG616-A1,95Mo,ENDF VII.0 + mod-Wright,1.016E+00
AG616-A1,103Rh,ENDF VII.0 + mod-Wright,6.338E-01
AG616-A1,99Tc,ENDF VII.0 + mod-Wright,1.082E+00
AG616-A1,233U,ENDF VII.0 + mod-Mughabghab v1,8.027E-06
AG616-A1,234U,ENDF VII.0 + mod-Mughabghab v1,2.373E-01
AG616-A1,235U,ENDF VII.0 + mod-Mughabghab v1,8.359E+00
AG616-A1,236U,ENDF VII.0 + mod-Mughabghab v1,5.449E+00
AG616-A1,238U,ENDF VII.0 + mod-Mughabghab v1,9.256E+02
AG616-A1,238Pu,ENDF VII.0 + mod-Mughabghab v1,2.519E-01
AG616-A1,239Pu,ENDF VII.0 + mod-Mughabghab v1,6.046E+00
AG616-A1,240Pu,ENDF VII.0 + mod-Mughabghab v1,2.926E+00
AG616-A1,241Pu,ENDF VII.0 + mod-Mughabghab v1,7.170E-01
AG616-A1,242Pu,ENDF VII.0 + mod-Mughabghab v1,7.908E-01
AG616-A1,237Np,ENDF VII.0 + mod-Mughabghab v1,6.435E-01
AG616-A1,241Am,ENDF VII.0 + mod-Mughabghab v1,1.031E+00
AG616-A1,243Am,ENDF VII.0 + mod-Mughabghab v1,1.982E-01
AG616-A1,244Cm,ENDF VII.0 + mod-Mughabghab v1,4.012E-02
AG616-A1,133Cs,ENDF VII.0 + mod-Mughabghab v1,1.514E+00
AG616-A1,134Cs,ENDF VII.0 + mod-Mughabghab v1,4.934E-04
AG616-A1,135Cs,ENDF VII.0 + mod-Mughabghab v1,5.776E-01
AG616-A1,137Cs,ENDF VII.0 + mod-Mughabghab v1,1.113E+00
AG616-A1,140Ce,ENDF VII.0 + mod-Mughabghab v1,1.715E+00
AG616-A1,142Ce,ENDF VII.0 + mod-Mughabghab v1,1.555E+00
AG616-A1,142Nd,ENDF VII.0 + mod-Mughabghab v1,3.247E-02
AG616-A1,143Nd,ENDF VII.0 + mod-Mughabghab v1,1.052E+00
AG616-A1,144Nd,ENDF VII.0 + mod-Mughabghab v1,1.855E+00
AG616-A1,145Nd,ENDF VII.0 + mod-Mughabghab v1,8.931E-01
AG616-A1,146Nd,ENDF VII.0 + mod-Mughabghab v1,9.942E-01
AG616-A1,148Nd,ENDF VII.0 + mod-Mughabghab v1,5.142E-01
AG616-A1,150Nd,ENDF VII.0 + mod-Mughabghab v1,2.496E-01
AG616-A1,147Sm,ENDF VII.0 + mod-Mughabghab v1,3.261E-01
AG616-A1,148Sm,ENDF VII.0 + mod-Mughabghab v1,2.111E-01
AG616-A1,149Sm,ENDF VII.0 + mod-Mughabghab v1,3.731E-03
AG616-A1,150Sm,ENDF VII.0 + mod-Mughabghab v1,4.029E-01
AG616-A1,151Sm,ENDF VII.0 + mod-Mughabghab v1,1.231E-02
AG616-A1,152Sm,ENDF VII.0 + mod-Mughabghab v1,1.331E-01
AG616-A1,154Sm,ENDF VII.0 + mod-Mughabghab v1,5.320E-02
AG616-A1,151Eu,ENDF VII.0 + mod-Mughabghab v1,1.828E-03
AG616-A1,152Eu,ENDF VII.0 + mod-Mughabghab v1,4.788E-06
AG616-A1,153Eu,ENDF VII.0 + mod-Mughabghab v1,1.633E-01
AG616-A1,154Eu,ENDF VII.0 + mod-Mughabghab v1,8.259E-03
AG616-A1,155Eu,ENDF VII.0 + mod-Mughabghab v1,8.992E-04
AG616-A1,152Gd,ENDF VII.0 + mod-Mughabghab v1,3.900E-05
AG616-A1,154Gd,ENDF VII.0 + mod-Mughabghab v1,3.022E-02
AG616-A1,155Gd,ENDF VII.0 + mod-Mughabghab v1,1.131E-02
AG616-A1,156Gd,ENDF VII.0 + mod-Mughabghab v1,1.415E-01
AG616-A1,157Gd,ENDF VII.0 + mod-Mughabghab v1,1.417E-04
AG616-A1,158Gd,ENDF VII.0 + mod-Mughabghab v1,2.729E-02
AG616-A1,160Gd,ENDF VII.0 + mod-Mughabghab v1,1.595E-03
AG616-A1,109Ag,ENDF VII.0 + mod-Mughabghab v1,1.020E-01
AG616-A1,95Mo,ENDF VII.0 + mod-Mughabghab v1,1.016E+00
AG616-A1,103Rh,ENDF VII.0 + mod-Mughabghab v1,6.338E-01
AG616-A1,99Tc,ENDF VII.0 + mod-Mughabghab v1,1.082E+00
AG616-A1,233U,ENDF VII.1 + mod-Mughabghab v1,7.130E-06
AG616-A1,234U,ENDF VII.1 + mod-Mughabghab v1,2.415E-01
AG616-A1,235U,ENDF VII.1 + mod-Mughabghab v1,8.322E+00
AG616-A1,236U,ENDF VII.1 + mod-Mughabghab v1,5.447E+00
AG616-A1,238U,ENDF VII.1 + mod-Mughabghab v1,9.258E+02
AG616-A1,238Pu,ENDF VII.1 + mod-Mughabghab v1,2.798E-01
AG616-A1,239Pu,ENDF VII.1 + mod-Mughabghab v1,5.947E+00
AG616-A1,240Pu,ENDF VII.1 + mod-Mughabghab v1,2.883E+00
AG616-A1,241Pu,ENDF VII.1 + mod-Mughabghab v1,7.128E-01
AG616-A1,242Pu,ENDF VII.1 + mod-Mughabghab v1,8.182E-01
AG616-A1,237Np,ENDF VII.1 + mod-Mughabghab v1,6.365E-01
AG616-A1,241Am,ENDF VII.1 + mod-Mughabghab v1,1.019E+00
AG616-A1,243Am,ENDF VII.1 + mod-Mughabghab v1,1.776E-01
AG616-A1,244Cm,ENDF VII.1 + mod-Mughabghab v1,4.087E-02
AG616-A1,133Cs,ENDF VII.1 + mod-Mughabghab v1,1.522E+00
AG616-A1,134Cs,ENDF VII.1 + mod-Mughabghab v1,4.807E-04
AG616-A1,135Cs,ENDF VII.1 + mod-Mughabghab v1,5.768E-01
AG616-A1,137Cs,ENDF VII.1 + mod-Mughabghab v1,1.114E+00
AG616-A1,140Ce,ENDF VII.1 + mod-Mughabghab v1,1.716E+00
AG616-A1,142Ce,ENDF VII.1 + mod-Mughabghab v1,1.554E+00
AG616-A1,142Nd,ENDF VII.1 + mod-Mughabghab v1,3.266E-02
AG616-A1,143Nd,ENDF VII.1 + mod-Mughabghab v1,1.051E+00
AG616-A1,144Nd,ENDF VII.1 + mod-Mughabghab v1,1.858E+00
AG616-A1,145Nd,ENDF VII.1 + mod-Mughabghab v1,9.066E-01
AG616-A1,146Nd,ENDF VII.1 + mod-Mughabghab v1,9.815E-01
AG616-A1,148Nd,ENDF VII.1 + mod-Mughabghab v1,5.144E-01
AG616-A1,150Nd,ENDF VII.1 + mod-Mughabghab v1,2.496E-01
AG616-A1,147Sm,ENDF VII.1 + mod-Mughabghab v1,3.249E-01
AG616-A1,148Sm,ENDF VII.1 + mod-Mughabghab v1,2.117E-01
AG616-A1,149Sm,ENDF VII.1 + mod-Mughabghab v1,3.717E-03
AG616-A1,150Sm,ENDF VII.1 + mod-Mughabghab v1,4.039E-01
AG616-A1,151Sm,ENDF VII.1 + mod-Mughabghab v1,1.227E-02
AG616-A1,152Sm,ENDF VII.1 + mod-Mughabghab v1,1.328E-01
AG616-A1,154Sm,ENDF VII.1 + mod-Mughabghab v1,5.323E-02
AG616-A1,151Eu,ENDF VII.1 + mod-Mughabghab v1,1.822E-03
AG616-A1,152Eu,ENDF VII.1 + mod-Mughabghab v1,4.719E-06
AG616-A1,153Eu,ENDF VII.1 + mod-Mughabghab v1,1.584E-01
AG616-A1,154Eu,ENDF VII.1 + mod-Mughabghab v1,8.438E-03
AG616-A1,155Eu,ENDF VII.1 + mod-Mughabghab v1,9.162E-04
AG616-A1,152Gd,ENDF VII.1 + mod-Mughabghab v1,3.879E-05
AG616-A1,154Gd,ENDF VII.1 + mod-Mughabghab v1,3.091E-02
AG616-A1,155Gd,ENDF VII.1 + mod-Mughabghab v1,1.152E-02
AG616-A1,156Gd,ENDF VII.1 + mod-Mughabghab v1,1.452E-01
AG616-A1,157Gd,ENDF VII.1 + mod-Mughabghab v1,1.433E-04
AG616-A1,158Gd,ENDF VII.1 + mod-Mughabghab v1,2.752E-02
AG616-A1,160Gd,ENDF VII.1 + mod-Mughabghab v1,1.594E-03
AG616-A1,109Ag,ENDF VII.1 + mod-Mughabghab v1,1.019E-01
AG616-A1,95Mo,ENDF VII.1 + mod-Mughabghab v1,1.021E+00
AG616-A1,103Rh,ENDF VII.1 + mod-Mughabghab v1,6.444E-01
AG616-A1,99Tc,ENDF VII.1 + mod-Mughabghab v1,1.097E+00
AG616-B1,233U,ENDF VII.0,8.576E-06
AG616-B1,234U,ENDF VII.0,2.236E-01
AG616-B1,235U,ENDF VII.0,5.724E+00
AG616-B1,236U,ENDF VII.0,5.707E+00
AG616-B1,238U,ENDF VII.0,9.175E+02
AG616-B1,238Pu,ENDF VII.0,3.571E-01
AG616-B1,239Pu,ENDF VII.0,6.094E+00
AG616-B1,240Pu,ENDF VII.0,3.320E+00
AG616-B1,241Pu,ENDF VII.0,8.020E-01
AG616-B1,242Pu,ENDF VII.0,1.117E+00
AG616-B1,237Np,ENDF VII.0,7.725E-01
AG616-B1,241Am,ENDF VII.0,1.151E+00
AG616-B1,243Am,ENDF VII.0,3.216E-01
AG616-B1,244Cm,ENDF VII.0,8.295E-02
AG616-B1,133Cs,ENDF VII.0,1.731E+00
AG616-B1,134Cs,ENDF VII.0,6.812E-04
AG616-B1,135Cs,ENDF VII.0,6.125E-01
AG616-B1,137Cs,ENDF VII.0,1.332E+00
AG616-B1,140Ce,ENDF VII.0,2.042E+00
AG616-B1,142Ce,ENDF VII.0,1.842E+00
AG616-B1,142Nd,ENDF VII.0,4.817E-02
AG616-B1,143Nd,ENDF VII.0,1.132E+00
AG616-B1,144Nd,ENDF VII.0,2.286E+00
AG616-B1,145Nd,ENDF VII.0,1.015E+00
AG616-B1,146Nd,ENDF VII.0,1.221E+00
AG616-B1,148Nd,ENDF VII.0,6.163E-01
AG616-B1,150Nd,ENDF VII.0,3.045E-01
AG616-B1,147Sm,ENDF VII.0,3.370E-01
AG616-B1,148Sm,ENDF VII.0,2.762E-01
AG616-B1,149Sm,ENDF VII.0,3.773E-03
AG616-B1,150Sm,ENDF VII.0,4.905E-01
AG616-B1,151Sm,ENDF VII.0,1.326E-02
AG616-B1,152Sm,ENDF VII.0,1.476E-01
AG616-B1,154Sm,ENDF VII.0,6.887E-02
AG616-B1,151Eu,ENDF VII.0,1.967E-03
AG616-B1,152Eu,ENDF VII.0,4.532E-06
AG616-B1,153Eu,ENDF VII.0,1.957E-01
AG616-B1,154Eu,ENDF VII.0,1.105E-02
AG616-B1,155Eu,ENDF VII.0,1.121E-03
AG616-B1,152Gd,ENDF VII.0,3.700E-05
AG616-B1,154Gd,ENDF VII.0,4.079E-02
AG616-B1,155Gd,ENDF VII.0,1.409E-02
AG616-B1,156Gd,ENDF VII.0,2.182E-01
AG616-B1,157Gd,ENDF VII.0,1.805E-04
AG616-B1,158Gd,ENDF VII.0,4.087E-02
AG616-B1,160Gd,ENDF VII.0,2.159E-03
AG616-B1,109Ag,ENDF VII.0,1.301E-01
AG616-B1,95Mo,ENDF VII.0,1.174E+00
AG616-B1,103Rh,ENDF VII.0,7.180E-01
AG616-B1,99Tc,ENDF VII.0,1.249E+00
AG616-B1,233U,ENDF VII.1,7.779E-06
AG616-B1,234U,ENDF VII.1,2.305E-01
AG616-B1,235U,ENDF VII.1,5.678E+00
AG616-B1,236U,ENDF VII.1,5.701E+00
AG616-B1,238U,ENDF VII.1,9.175E+02
AG616-B1,238Pu,ENDF VII.1,4.029E-01
AG616-B1,239Pu,ENDF VII.1,5.976E+00
AG616-B1,240Pu,ENDF VII.1,3.263E+00
AG616-B1,241Pu,ENDF VII.1,7.947E-01
AG616-B1,242Pu,ENDF VII.1,1.159E+00
AG616-B1,237Np,ENDF VII.1,7.623E-01
AG616-B1,241Am,ENDF VII.1,1.133E+00
AG616-B1,243Am,ENDF VII.1,2.881E-01
AG616-B1,244Cm,ENDF VII.1,8.451E-02
AG616-B1,133Cs,ENDF VII.1,1.742E+00
AG616-B1,134Cs,ENDF VII.1,6.650E-04
AG616-B1,135Cs,ENDF VII.1,6.109E-01
AG616-B1,137Cs,ENDF VII.1,1.332E+00
AG616-B1,140Ce,ENDF VII.1,2.043E+00
AG616-B1,142Ce,ENDF VII.1,1.840E+00
AG616-B1,142Nd,ENDF VII.1,4.853E-02
AG616-B1,143Nd,ENDF VII.1,1.129E+00
AG616-B1,144Nd,ENDF VII.1,2.290E+00
AG616-B1,145Nd,ENDF VII.1,1.034E+00
AG616-B1,146Nd,ENDF VII.1,1.203E+00
AG616-B1,148Nd,ENDF VII.1,6.167E-01
AG616-B1,150Nd,ENDF VII.1,3.047E-01
AG616-B1,147Sm,ENDF VII.1,3.349E-01
AG616-B1,148Sm,ENDF VII.1,2.773E-01
AG616-B1,149Sm,ENDF VII.1,3.752E-03
AG616-B1,150Sm,ENDF VII.1,4.917E-01
AG616-B1,151Sm,ENDF VII.1,1.319E-02
AG616-B1,152Sm,ENDF VII.1,1.473E-01
AG616-B1,154Sm,ENDF VII.1,6.891E-02
AG616-B1,151Eu,ENDF VII.1,1.956E-03
AG616-B1,152Eu,ENDF VII.1,4.445E-06
AG616-B1,153Eu,ENDF VII.1,1.890E-01
AG616-B1,154Eu,ENDF VII.1,1.118E-02
AG616-B1,155Eu,ENDF VII.1,1.138E-03
AG616-B1,152Gd,ENDF VII.1,3.667E-05
AG616-B1,154Gd,ENDF VII.1,4.133E-02
AG616-B1,155Gd,ENDF VII.1,1.430E-02
AG616-B1,156Gd,ENDF VII.1,2.240E-01
AG616-B1,157Gd,ENDF VII.1,1.823E-04
AG616-B1,158Gd,ENDF VII.1,4.133E-02
AG616-B1,160Gd,ENDF VII.1,2.159E-03
AG616-B1,109Ag,ENDF VII.1,1.300E-01
AG616-B1,95Mo,ENDF VII.1,1.180E+00
AG616-B1,103Rh,ENDF VII.1,7.317E-01
AG616-B1,99Tc,ENDF VII.1,1.269E+00
AG616-B1,233U,ENDF VII.0 + mod-Wright,8.578E-06
AG616-B1,234U,ENDF VII.0 + mod-Wright,2.236E-01
AG616-B1,235U,ENDF VII.0 + mod-Wright,5.726E+00
AG616-B1,236U,ENDF VII.0 + mod-Wright,5.707E+00
AG616-B1,238U,ENDF VII.0 + mod-Wright,9.173E+02
AG616-B1,238Pu,ENDF VII.0 + mod-Wright,3.573E-01
AG616-B1,239Pu,ENDF VII.0 + mod-Wright,6.096E+00
AG616-B1,240Pu,ENDF VII.0 + mod-Wright,3.320E+00
AG616-B1,241Pu,ENDF VII.0 + mod-Wright,8.022E-01
AG616-B1,242Pu,ENDF VII.0 + mod-Wright,1.117E+00
AG616-B1,237Np,ENDF VII.0 + mod-Wright,7.727E-01
AG616-B1,241Am,ENDF VII.0 + mod-Wright,1.151E+00
AG616-B1,243Am,ENDF VII.0 + mod-Wright,3.216E-01
AG616-B1,244Cm,ENDF VII.0 + mod-Wright,8.297E-02
AG616-B1,133Cs,ENDF VII.0 + mod-Wright,1.731E+00
AG616-B1,134Cs,ENDF VII.0 + mod-Wright,6.812E-04
AG616-B1,135Cs,ENDF VII.0 + mod-Wright,6.125E-01
AG616-B1,137Cs,ENDF VII.0 + mod-Wright,1.331E+00
AG616-B1,140Ce,ENDF VII.0 + mod-Wright,2.042E+00
AG616-B1,142Ce,ENDF VII.0 + mod-Wright,1.842E+00
AG616-B1,142Nd,ENDF VII.0 + mod-Wright,4.815E-02
AG616-B1,143Nd,ENDF VII.0 + mod-Wright,1.132E+00
AG616-B1,144Nd,ENDF VII.0 + mod-Wright,2.286E+00
AG616-B1,145Nd,ENDF VII.0 + mod-Wright,1.014E+00
AG616-B1,146Nd,ENDF VII.0 + mod-Wright,1.221E+00
AG616-B1,148Nd,ENDF VII.0 + mod-Wright,6.163E-01
AG616-B1,150Nd,ENDF VII.0 + mod-Wright,3.045E-01
AG616-B1,147Sm,ENDF VII.0 + mod-Wright,3.367E-01
AG616-B1,148Sm,ENDF VII.0 + mod-Wright,2.764E-01
AG616-B1,149Sm,ENDF VII.0 + mod-Wright,3.775E-03
AG616-B1,150Sm,ENDF VII.0 + mod-Wright,4.905E-01
AG616-B1,151Sm,ENDF VII.0 + mod-Wright,1.327E-02
AG616-B1,152Sm,ENDF VII.0 + mod-Wright,1.475E-01
AG616-B1,154Sm,ENDF VII.0 + mod-Wright,6.887E-02
AG616-B1,151Eu,ENDF VII.0 + mod-Wright,1.968E-03
AG616-B1,152Eu,ENDF VII.0 + mod-Wright,4.538E-06
AG616-B1,153Eu,ENDF VII.0 + mod-Wright,1.957E-01
AG616-B1,154Eu,ENDF VII.0 + mod-Wright,9.549E-03
AG616-B1,155Eu,ENDF VII.0 + mod-Wright,1.143E-03
AG616-B1,152Gd,ENDF VII.0 + mod-Wright,3.702E-05
AG616-B1,154Gd,ENDF VII.0 + mod-Wright,3.536E-02
AG616-B1,155Gd,ENDF VII.0 + mod-Wright,1.437E-02
AG616-B1,156Gd,ENDF VII.0 + mod-Wright,2.244E-01
AG616-B1,157Gd,ENDF VII.0 + mod-Wright,1.835E-04
AG616-B1,158Gd,ENDF VII.0 + mod-Wright,4.135E-02
AG616-B1,160Gd,ENDF VII.0 + mod-Wright,2.161E-03
AG616-B1,109Ag,ENDF VII.0 + mod-Wright,1.301E-01
AG616-B1,95Mo,ENDF VII.0 + mod-Wright,1.174E+00
AG616-B1,103Rh,ENDF VII.0 + mod-Wright,7.180E-01
AG616-B1,99Tc,ENDF VII.0 + mod-Wright,1.248E+00
AG616-B1,233U,ENDF VII.0 + mod-Mughabghab v1,8.576E-06
AG616-B1,234U,ENDF VII.0 + mod-Mughabghab v1,2.236E-01
AG616-B1,235U,ENDF VII.0 + mod-Mughabghab v1,5.724E+00
AG616-B1,236U,ENDF VII.0 + mod-Mughabghab v1,5.707E+00
AG616-B1,238U,ENDF VII.0 + mod-Mughabghab v1,9.173E+02
AG616-B1,238Pu,ENDF VII.0 + mod-Mughabghab v1,3.571E-01
AG616-B1,239Pu,ENDF VII.0 + mod-Mughabghab v1,6.096E+00
AG616-B1,240Pu,ENDF VII.0 + mod-Mughabghab v1,3.320E+00
AG616-B1,241Pu,ENDF VII.0 + mod-Mughabghab v1,8.020E-01
AG616-B1,242Pu,ENDF VII.0 + mod-Mughabghab v1,1.117E+00
AG616-B1,237Np,ENDF VII.0 + mod-Mughabghab v1,7.727E-01
AG616-B1,241Am,ENDF VII.0 + mod-Mughabghab v1,1.151E+00
AG616-B1,243Am,ENDF VII.0 + mod-Mughabghab v1,3.216E-01
AG616-B1,244Cm,ENDF VII.0 + mod-Mughabghab v1,8.295E-02
AG616-B1,133Cs,ENDF VII.0 + mod-Mughabghab v1,1.731E+00
AG616-B1,134Cs,ENDF VII.0 + mod-Mughabghab v1,6.812E-04
AG616-B1,135Cs,ENDF VII.0 + mod-Mughabghab v1,6.125E-01
AG616-B1,137Cs,ENDF VII.0 + mod-Mughabghab v1,1.332E+00
AG616-B1,140Ce,ENDF VII.0 + mod-Mughabghab v1,2.042E+00
AG616-B1,142Ce,ENDF VII.0 + mod-Mughabghab v1,1.842E+00
AG616-B1,142Nd,ENDF VII.0 + mod-Mughabghab v1,4.817E-02
AG616-B1,143Nd,ENDF VII.0 + mod-Mughabghab v1,1.132E+00
AG616-B1,144Nd,ENDF VII.0 + mod-Mughabghab v1,2.286E+00
AG616-B1,145Nd,ENDF VII.0 + mod-Mughabghab v1,1.014E+00
AG616-B1,146Nd,ENDF VII.0 + mod-Mughabghab v1,1.221E+00
AG616-B1,148Nd,ENDF VII.0 + mod-Mughabghab v1,6.163E-01
AG616-B1,150Nd,ENDF VII.0 + mod-Mughabghab v1,3.045E-01
AG616-B1,147Sm,ENDF VII.0 + mod-Mughabghab v1,3.367E-01
AG616-B1,148Sm,ENDF VII.0 + mod-Mughabghab v1,2.762E-01
AG616-B1,149Sm,ENDF VII.0 + mod-Mughabghab v1,3.773E-03
AG616-B1,150Sm,ENDF VII.0 + mod-Mughabghab v1,4.905E-01
AG616-B1,151Sm,ENDF VII.0 + mod-Mughabghab v1,1.326E-02
AG616-B1,152Sm,ENDF VII.0 + mod-Mughabghab v1,1.475E-01
AG616-B1,154Sm,ENDF VII.0 + mod-Mughabghab v1,6.887E-02
AG616-B1,151Eu,ENDF VII.0 + mod-Mughabghab v1,1.967E-03
AG616-B1,152Eu,ENDF VII.0 + mod-Mughabghab v1,4.534E-06
AG616-B1,153Eu,ENDF VII.0 + mod-Mughabghab v1,1.957E-01
AG616-B1,154Eu,ENDF VII.0 + mod-Mughabghab v1,1.036E-02
AG616-B1,155Eu,ENDF VII.0 + mod-Mughabghab v1,1.131E-03
AG616-B1,152Gd,ENDF VII.0 + mod-Mughabghab v1,3.700E-05
AG616-B1,154Gd,ENDF VII.0 + mod-Mughabghab v1,3.831E-02
AG616-B1,155Gd,ENDF VII.0 + mod-Mughabghab v1,1.422E-02
AG616-B1,156Gd,ENDF VII.0 + mod-Mughabghab v1,2.211E-01
AG616-B1,157Gd,ENDF VII.0 + mod-Mughabghab v1,1.819E-04
AG616-B1,158Gd,ENDF VII.0 + mod-Mughabghab v1,4.108E-02
AG616-B1,160Gd,ENDF VII.0 + mod-Mughabghab v1,2.161E-03
AG616-B1,109Ag,ENDF VII.0 + mod-Mughabghab v1,1.301E-01
AG616-B1,95Mo,ENDF VII.0 + mod-Mughabghab v1,1.174E+00
AG616-B1,103Rh,ENDF VII.0 + mod-Mughabghab v1,7.180E-01
AG616-B1,99Tc,ENDF VII.0 + mod-Mughabghab v1,1.249E+00
AG616-B1,233U,ENDF VII.1 + mod-Mughabghab v1,7.777E-06
AG616-B1,234U,ENDF VII.1 + mod-Mughabghab v1,2.305E-01
AG616-B1,235U,ENDF VII.1 + mod-Mughabghab v1,5.678E+00
AG616-B1,236U,ENDF VII.1 + mod-Mughabghab v1,5.701E+00
AG616-B1,238U,ENDF VII.1 + mod-Mughabghab v1,9.175E+02
AG616-B1,238Pu,ENDF VII.1 + mod-Mughabghab v1,4.029E-01
AG616-B1,239Pu,ENDF VII.1 + mod-Mughabghab v1,5.978E+00
AG616-B1,240Pu,ENDF VII.1 + mod-Mughabghab v1,3.263E+00
AG616-B1,241Pu,ENDF VII.1 + mod-Mughabghab v1,7.947E-01
AG616-B1,242Pu,ENDF VII.1 + mod-Mughabghab v1,1.159E+00
AG616-B1,237Np,ENDF VII.1 + mod-Mughabghab v1,7.625E-01
AG616-B1,241Am,ENDF VII.1 + mod-Mughabghab v1,1.133E+00
AG616-B1,243Am,ENDF VII.1 + mod-Mughabghab v1,2.883E-01
AG616-B1,244Cm,ENDF VII.1 + mod-Mughabghab v1,8.457E-02
AG616-B1,133Cs,ENDF VII.1 + mod-Mughabghab v1,1.742E+00
AG616-B1,134Cs,ENDF VII.1 + mod-Mughabghab v1,6.650E-04
AG616-B1,135Cs,ENDF VII.1 + mod-Mughabghab v1,6.109E-01
AG616-B1,137Cs,ENDF VII.1 + mod-Mughabghab v1,1.332E+00
AG616-B1,140Ce,ENDF VII.1 + mod-Mughabghab v1,2.043E+00
AG616-B1,142Ce,ENDF VII.1 + mod-Mughabghab v1,1.840E+00
AG616-B1,142Nd,ENDF VII.1 + mod-Mughabghab v1,4.853E-02
AG616-B1,143Nd,ENDF VII.1 + mod-Mughabghab v1,1.129E+00
AG616-B1,144Nd,ENDF VII.1 + mod-Mughabghab v1,2.290E+00
AG616-B1,145Nd,ENDF VII.1 + mod-Mughabghab v1,1.033E+00
AG616-B1,146Nd,ENDF VII.1 + mod-Mughabghab v1,1.203E+00
AG616-B1,148Nd,ENDF VII.1 + mod-Mughabghab v1,6.167E-01
AG616-B1,150Nd,ENDF VII.1 + mod-Mughabghab v1,3.047E-01
AG616-B1,147Sm,ENDF VII.1 + mod-Mughabghab v1,3.349E-01
AG616-B1,148Sm,ENDF VII.1 + mod-Mughabghab v1,2.773E-01
AG616-B1,149Sm,ENDF VII.1 + mod-Mughabghab v1,3.754E-03
AG616-B1,150Sm,ENDF VII.1 + mod-Mughabghab v1,4.917E-01
