Sample,Isotope,Evaluation,Calculated,Units
Pickering-A 19558C,pu240,ENDF VII.0 + mod-Mughabghab v1,2.964E-01,at % / element
Pickering-A 19558C,pu241,ENDF VII.0 + mod-Mughabghab v1,3.229E-02,at % / element
Pickering-A 19558C,pu242,ENDF VII.0 + mod-Mughabghab v1,2.328E-02,at % / element
Pickering-A 19558C,h3,ENDF VII.0 + mod-Mughabghab v1,2.214E+09,Bq / kgU
Pickering-A 19558C,sr90,ENDF VII.0 + mod-Mughabghab v1,5.012E+11,Bq / kgU
Pickering-A 19558C,tc99,ENDF VII.0 + mod-Mughabghab v1,1.528E+08,Bq / kgU
Pickering-A 19558C,ru106,ENDF VII.0 + mod-Mughabghab v1,2.839E+08,Bq / kgU
Pickering-A 19558C,sb125,ENDF VII.0 + mod-Mughabghab v1,2.702E+09,Bq / kgU
Pickering-A 19558C,i129,ENDF VII.0 + mod-Mughabghab v1,3.015E+05,Bq / kgU
Pickering-A 19558C,cs134,ENDF VII.0 + mod-Mughabghab v1,4.041E+09,Bq / kgU
Pickering-A 19558C,cs137,ENDF VII.0 + mod-Mughabghab v1,7.830E+11,Bq / kgU
Pickering-A 19558C,eu154,ENDF VII.0 + mod-Mughabghab v1,8.902E+09,Bq / kgU
Pickering-A 19558C,eu155,ENDF VII.0 + mod-Mughabghab v1,3.796E+09,Bq / kgU
Pickering-A 19558C,np237,ENDF VII.0 + mod-Mughabghab v1,9.763E+05,Bq / kgU
Pickering-A 19558C,am241,ENDF VII.0 + mod-Mughabghab v1,1.943E+10,Bq / kgU
Pickering-A 19558C,cm244,ENDF VII.0 + mod-Mughabghab v1,8.048E+08,Bq / kgU
Pickering-A 19558C,u235,ENDF VII.1 + mod-Mughabghab v1,1.670E-03,at % / element
Pickering-A 19558C,u236,ENDF VII.1 + mod-Mughabghab v1,8.378E-04,at % / element
Pickering-A 19558C,u238,ENDF VII.1 + mod-Mughabghab v1,9.975E-01,at % / element
Pickering-A 19558C,pu238,ENDF VII.1 + mod-Mughabghab v1,1.499E-03,at % / element
