Assembly,Sample,Isotope,Inventory,Uncertainty,Units
REBUS,GKN-II,Cm-243,8.400E-04,1.00E+01,g / gU238
REBUS,GKN-II,Cm-244,1.440E-01,1.28E+00,g / gU238
REBUS,GKN-II,Cm-245,1.440E-02,2.81E+00,g / gU238
REBUS,GKN-II,Mo-95,1.130E+00,5.01E+00,g / gU238
REBUS,GKN-II,Tc-99,1.360E+00,5.01E+00,g / gU238
REBUS,GKN-II,Ru-101,1.050E+00,5.01E+00,g / gU238
REBUS,GKN-II,Rh-103,6.300E-01,5.01E+00,g / gU238
REBUS,GKN-II,Pd-105,4.900E-01,5.01E+00,g / gU238
REBUS,GKN-II,Pd-108,1.920E-01,5.01E+00,g / gU238
REBUS,GKN-II,Ag-109,1.160E-01,5.01E+00,g / gU238
REBUS,GKN-II,Cs-133,1.740E+00,1.33E+00,g / gU238
REBUS,GKN-II,Cs-135,6.250E-01,1.33E+00,g / gU238
REBUS,GKN-II,Cs-137,1.820E+00,1.33E+00,g / gU238
REBUS,GKN-II,Ce-144,5.300E-04,5.01E+00,g / gU238
REBUS,GKN-II,Nd-142,5.660E-02,4.80E-01,g / gU238
REBUS,GKN-II,Nd-143,1.162E+00,4.30E-01,g / gU238
REBUS,GKN-II,Nd-144,2.449E+00,4.30E-01,g / gU238
REBUS,GKN-II,Nd-145,1.081E+00,4.30E-01,g / gU238
REBUS,GKN-II,Nd-146,1.276E+00,4.30E-01,g / gU238
REBUS,GKN-II,Nd-148,6.470E-01,4.30E-01,g / gU238
REBUS,GKN-II,Nd-150,3.200E-01,4.30E-01,g / gU238
REBUS,GKN-II,Sm-147,3.240E-01,4.70E-01,g / gU238
REBUS,GKN-II,Sm-148,3.130E-01,4.70E-01,g / gU238
REBUS,GKN-II,Sm-149,2.590E-03,1.10E+00,g / gU238
REBUS,GKN-II,Sm-150,5.180E-01,4.70E-01,g / gU238
REBUS,GKN-II,Sm-151,1.551E-02,5.20E-01,g / gU238
REBUS,GKN-II,Sm-152,1.598E-01,4.70E-01,g / gU238
REBUS,GKN-II,Sm-154,7.270E-02,4.80E-01,g / gU238
REBUS,GKN-II,Eu-153,2.086E-01,5.30E-01,g / gU238
REBUS,GKN-II,Eu-154,2.500E-02,1.72E+00,g / gU238
REBUS,GKN-II,Eu-155,6.700E-03,3.01E+00,g / gU238
REBUS,GKN-II,Gd-155,1.100E-02,2.52E+00,g / gU238
Pickering-A 19558C,CANDU-28,u235,1.680E-03,2.40E-02,at % / element
Pickering-A 19558C,CANDU-28,u236,8.200E-04,3.70E-02,at % / element
Pickering-A 19558C,CANDU-28,u238,9.975E-01,1.00E-04,at % / element
Pickering-A 19558C,CANDU-28,pu238,1.400E-03,5.60E-02,at % / element
Pickering-A 19558C,CANDU-28,pu239,6.491E-01,2.50E-02,at % / element
Pickering-A 19558C,CANDU-28,pu240,2.945E-01,3.70E-02,at % / element
Pickering-A 19558C,CANDU-28,pu241,3.240E-02,9.10E-02,at % / element
Pickering-A 19558C,CANDU-28,pu242,2.270E-02,6.70E-02,at % / element
Pickering-A 19558C,CANDU-28,h3,2.070E+09,7.00E-02,Bq / kgU
Pickering-A 19558C,CANDU-28,sr90,4.860E+11,4.00E-02,Bq / kgU
Pickering-A 19558C,CANDU-28,tc99,1.080E+08,1.00E-01,Bq / kgU
Pickering-A 19558C,CANDU-28,ru106,8.720E+07,5.00E-02,Bq / kgU
Pickering-A 19558C,CANDU-28,sb125,2.200E+09,1.80E-01,Bq / kgU
Pickering-A 19558C,CANDU-28,i129,2.440E+05,,Bq / kgU
Pickering-A 19558C,CANDU-28,cs134,4.160E+09,7.00E-02,Bq / kgU
Pickering-A 19558C,CANDU-28,cs137,8.050E+11,5.00E-02,Bq / kgU
Pickering-A 19558C,CANDU-28,eu154,8.140E+09,5.00E-02,Bq / kgU
Pickering-A 19558C,CANDU-28,eu155,3.350E+09,8.00E-02,Bq / kgU
Pickering-A 19558C,CANDU-28,np237,9.990E+05,2.00E-01,Bq / kgU
Pickering-A 19558C,CANDU-28,am241,1.860E+10,2.00E-01,Bq / kgU
Pickering-A 19558C,CANDU-28,cm244,7.120E+08,1.50E-01,Bq / kgU
