Sample,Isotope,Evaluation,g / g Uinit
87-63,Sm-147,ENDF VII.0 + mod-Wright,2.96E-04
87-63,Sm-148,ENDF VII.0 + mod-Wright,2.10E-04
87-63,Sm-149,ENDF VII.0 + mod-Wright,2.47E-06
87-63,Sm-150,ENDF VII.0 + mod-Wright,3.70E-04
87-63,Sm-151,ENDF VII.0 + mod-Wright,1.02E-05
87-63,Sm-152,ENDF VII.0 + mod-Wright,1.29E-04
87-63,Sm-154,ENDF VII.0 + mod-Wright,5.33E-05
87-63,Eu-151,ENDF VII.0 + mod-Wright,1.06E-06
87-63,Eu-152,ENDF VII.0 + mod-Wright,5.83E-09
87-63,Eu-153,ENDF VII.0 + mod-Wright,1.60E-04
87-63,Eu-154,ENDF VII.0 + mod-Wright,1.03E-05
87-63,Eu-155,ENDF VII.0 + mod-Wright,1.86E-06
87-63,Gd-154,ENDF VII.0 + mod-Wright,2.33E-05
87-63,Gd-155,ENDF VII.0 + mod-Wright,1.02E-05
87-63,Gd-156,ENDF VII.0 + mod-Wright,1.63E-04
87-63,Gd-158,ENDF VII.0 + mod-Wright,2.90E-05
87-63,Gd-160,ENDF VII.0 + mod-Wright,1.71E-06
87-63,Tc-99,ENDF VII.0 + mod-Wright,1.01E-03
87-63,Sr-90,ENDF VII.0 + mod-Wright,5.55E-04
87-63,U-234,ENDF VII.0 + mod-Mughabghab,1.41E-04
87-63,U-235,ENDF VII.0 + mod-Mughabghab,4.15E-03
87-63,U-236,ENDF VII.0 + mod-Mughabghab,4.27E-03
87-63,U-238,ENDF VII.0 + mod-Mughabghab,9.35E-01
87-63,Pu-238,ENDF VII.0 + mod-Mughabghab,2.76E-04
87-63,Pu-239,ENDF VII.0 + mod-Mughabghab,5.24E-03
87-63,Pu-240,ENDF VII.0 + mod-Mughabghab,2.96E-03
87-63,Pu-241,ENDF VII.0 + mod-Mughabghab,1.16E-03
87-63,Pu-242,ENDF VII.0 + mod-Mughabghab,8.83E-04
87-63,Np-237,ENDF VII.0 + mod-Mughabghab,5.46E-04
87-63,Am-241,ENDF VII.0 + mod-Mughabghab,4.03E-04
87-63,Cs-133,ENDF VII.0 + mod-Mughabghab,1.42E-03
87-63,Cs-134,ENDF VII.0 + mod-Mughabghab,2.90E-05
87-63,Cs-135,ENDF VII.0 + mod-Mughabghab,5.04E-04
87-63,Cs-137,ENDF VII.0 + mod-Mughabghab,1.38E-03
87-63,Nd-143,ENDF VII.0 + mod-Mughabghab,8.79E-04
87-63,Nd-144,ENDF VII.0 + mod-Mughabghab,1.81E-03
87-63,Nd-145,ENDF VII.0 + mod-Mughabghab,8.18E-04
87-63,Nd-146,ENDF VII.0 + mod-Mughabghab,9.46E-04
87-63,Nd-148,ENDF VII.0 + mod-Mughabghab,4.86E-04
87-63,Nd-150,ENDF VII.0 + mod-Mughabghab,2.42E-04
87-63,Sm-147,ENDF VII.0 + mod-Mughabghab,2.96E-04
87-63,Sm-148,ENDF VII.0 + mod-Mughabghab,2.10E-04
87-63,Sm-149,ENDF VII.0 + mod-Mughabghab,2.47E-06
87-63,Sm-150,ENDF VII.0 + mod-Mughabghab,3.70E-04
87-63,Sm-151,ENDF VII.0 + mod-Mughabghab,1.02E-05
87-63,Sm-152,ENDF VII.0 + mod-Mughabghab,1.29E-04
87-63,Sm-154,ENDF VII.0 + mod-Mughabghab,5.33E-05
87-63,Eu-151,ENDF VII.0 + mod-Mughabghab,1.06E-06
87-63,Eu-152,ENDF VII.0 + mod-Mughabghab,5.82E-09
87-63,Eu-153,ENDF VII.0 + mod-Mughabghab,1.60E-04
87-63,Eu-154,ENDF VII.0 + mod-Mughabghab,1.12E-05
87-63,Eu-155,ENDF VII.0 + mod-Mughabghab,1.84E-06
87-63,Gd-154,ENDF VII.0 + mod-Mughabghab,2.53E-05
87-63,Gd-155,ENDF VII.0 + mod-Mughabghab,1.01E-05
87-63,Gd-156,ENDF VII.0 + mod-Mughabghab,1.60E-04
87-63,Gd-158,ENDF VII.0 + mod-Mughabghab,2.88E-05
87-63,Gd-160,ENDF VII.0 + mod-Mughabghab,1.71E-06
87-63,Tc-99,ENDF VII.0 + mod-Mughabghab,1.01E-03
87-63,Sr-90,ENDF VII.0 + mod-Mughabghab,5.55E-04
