Sample,Isotope,Evaluation,g / g Uinit
87-72,Nd-150,ENDF VII.0 + mod-Mughabghab v1,1.99E-04
87-72,Sm-147,ENDF VII.0 + mod-Mughabghab v1,2.83E-04
87-72,Sm-148,ENDF VII.0 + mod-Mughabghab v1,1.59E-04
87-72,Sm-149,ENDF VII.0 + mod-Mughabghab v1,2.25E-06
87-72,Sm-150,ENDF VII.0 + mod-Mughabghab v1,3.04E-04
87-72,Sm-151,ENDF VII.0 + mod-Mughabghab v1,9.11E-06
87-72,Sm-152,ENDF VII.0 + mod-Mughabghab v1,1.17E-04
87-72,Sm-154,ENDF VII.0 + mod-Mughabghab v1,4.14E-05
87-72,Eu-151,ENDF VII.0 + mod-Mughabghab v1,9.70E-07
87-72,Eu-152,ENDF VII.0 + mod-Mughabghab v1,6.41E-09
87-72,Eu-153,ENDF VII.0 + mod-Mughabghab v1,1.31E-04
87-72,Eu-154,ENDF VII.0 + mod-Mughabghab v1,8.57E-06
87-72,Eu-155,ENDF VII.0 + mod-Mughabghab v1,1.40E-06
87-72,Gd-154,ENDF VII.0 + mod-Mughabghab v1,1.96E-05
87-72,Gd-155,ENDF VII.0 + mod-Mughabghab v1,7.93E-06
87-72,Gd-156,ENDF VII.0 + mod-Mughabghab v1,1.03E-04
87-72,Gd-158,ENDF VII.0 + mod-Mughabghab v1,1.97E-05
87-72,Gd-160,ENDF VII.0 + mod-Mughabghab v1,0.00E+00
87-72,Tc-99,ENDF VII.0 + mod-Mughabghab v1,8.76E-04
87-72,Sr-90,ENDF VII.0 + mod-Mughabghab v1,4.91E-04
87-72,U-234,ENDF VII.1,1.57E-04
87-72,U-235,ENDF VII.1,5.85E-03
87-72,U-236,ENDF VII.1,4.10E-03
87-72,U-238,ENDF VII.1,9.42E-01
87-72,Pu-238,ENDF VII.1,2.17E-04
87-72,Pu-239,ENDF VII.1,5.00E-03
87-72,Pu-240,ENDF VII.1,2.54E-03
87-72,Pu-241,ENDF VII.1,9.89E-04
87-72,Pu-242,ENDF VII.1,6.35E-04
87-72,Np-237,ENDF VII.1,4.44E-04
87-72,Am-241,ENDF VII.1,3.46E-04
87-72,Cs-133,ENDF VII.1,1.24E-03
87-72,Cs-134,ENDF VII.1,2.00E-05
87-72,Cs-135,ENDF VII.1,4.68E-04
87-72,Cs-137,ENDF VII.1,1.16E-03
87-72,Nd-143,ENDF VII.1,8.12E-04
87-72,Nd-144,ENDF VII.1,1.49E-03
87-72,Nd-145,ENDF VII.1,7.30E-04
87-72,Nd-146,ENDF VII.1,7.66E-04
87-72,Nd-148,ENDF VII.1,4.07E-04
87-72,Nd-150,ENDF VII.1,1.99E-04
87-72,Sm-147,ENDF VII.1,2.82E-04
87-72,Sm-148,ENDF VII.1,1.60E-04
87-72,Sm-149,ENDF VII.1,2.24E-06
87-72,Sm-150,ENDF VII.1,3.05E-04
87-72,Sm-151,ENDF VII.1,9.08E-06
87-72,Sm-152,ENDF VII.1,1.17E-04
87-72,Sm-154,ENDF VII.1,4.14E-05
87-72,Eu-151,ENDF VII.1,9.66E-07
87-72,Eu-152,ENDF VII.1,6.31E-09
87-72,Eu-153,ENDF VII.1,1.27E-04
87-72,Eu-154,ENDF VII.1,9.36E-06
87-72,Eu-155,ENDF VII.1,1.42E-06
87-72,Gd-154,ENDF VII.1,2.14E-05
87-72,Gd-155,ENDF VII.1,8.02E-06
87-72,Gd-156,ENDF VII.1,1.05E-04
87-72,Gd-158,ENDF VII.1,1.97E-05
87-72,Gd-160,ENDF VII.1,1.26E-06
87-72,Tc-99,ENDF VII.1,8.86E-04
87-72,Sr-90,ENDF VII.1,4.91E-04
87-72,U-234,ENDF VII.1 + mod-Mughabghab v1,1.57E-04
87-72,U-235,ENDF VII.1 + mod-Mughabghab v1,5.86E-03
87-72,U-236,ENDF VII.1 + mod-Mughabghab v1,4.10E-03
87-72,U-238,ENDF VII.1 + mod-Mughabghab v1,9.42E-01
87-72,Pu-238,ENDF VII.1 + mod-Mughabghab v1,2.17E-04
87-72,Pu-239,ENDF VII.1 + mod-Mughabghab v1,5.01E-03
87-72,Pu-240,ENDF VII.1 + mod-Mughabghab v1,2.54E-03
87-72,Pu-241,ENDF VII.1 + mod-Mughabghab v1,9.89E-04
87-72,Pu-242,ENDF VII.1 + mod-Mughabghab v1,6.35E-04
87-72,Np-237,ENDF VII.1 + mod-Mughabghab v1,4.44E-04
87-72,Am-241,ENDF VII.1 + mod-Mughabghab v1,3.46E-04
87-72,Cs-133,ENDF VII.1 + mod-Mughabghab v1,1.24E-03
87-72,Cs-134,ENDF VII.1 + mod-Mughabghab v1,2.00E-05
