Sample,Isotope,Evaluation,g / g Uinit
87-81,Gd-154,ENDF VII.0,1.27E-05
87-81,Gd-155,ENDF VII.0,4.87E-06
87-81,Gd-156,ENDF VII.0,4.87E-05
87-81,Gd-158,ENDF VII.0,1.10E-05
87-81,Gd-160,ENDF VII.0,7.61E-07
87-81,Tc-99,ENDF VII.0,6.74E-04
87-81,Sr-90,ENDF VII.0,3.91E-04
87-81,U-234,ENDF VII.0 + mod-Wright,1.81E-04
87-81,U-235,ENDF VII.0 + mod-Wright,9.59E-03
87-81,U-236,ENDF VII.0 + mod-Wright,3.62E-03
87-81,U-238,ENDF VII.0 + mod-Wright,9.50E-01
87-81,Pu-238,ENDF VII.0 + mod-Wright,1.03E-04
87-81,Pu-239,ENDF VII.0 + mod-Wright,4.95E-03
87-81,Pu-240,ENDF VII.0 + mod-Wright,1.97E-03
87-81,Pu-241,ENDF VII.0 + mod-Wright,7.48E-04
87-81,Pu-242,ENDF VII.0 + mod-Wright,3.09E-04
87-81,Np-237,ENDF VII.0 + mod-Wright,3.16E-04
87-81,Am-241,ENDF VII.0 + mod-Wright,2.74E-04
87-81,Cs-133,ENDF VII.0 + mod-Wright,9.60E-04
87-81,Cs-134,ENDF VII.0 + mod-Wright,1.13E-05
87-81,Cs-135,ENDF VII.0 + mod-Wright,4.27E-04
87-81,Cs-137,ENDF VII.0 + mod-Wright,8.57E-04
87-81,Nd-143,ENDF VII.0 + mod-Wright,6.95E-04
87-81,Nd-144,ENDF VII.0 + mod-Wright,1.05E-03
87-81,Nd-145,ENDF VII.0 + mod-Wright,5.67E-04
87-81,Nd-146,ENDF VII.0 + mod-Wright,5.59E-04
87-81,Nd-148,ENDF VII.0 + mod-Wright,3.01E-04
87-81,Nd-150,ENDF VII.0 + mod-Wright,1.43E-04
87-81,Sm-147,ENDF VII.0 + mod-Wright,2.47E-04
87-81,Sm-148,ENDF VII.0 + mod-Wright,9.79E-05
87-81,Sm-149,ENDF VII.0 + mod-Wright,2.07E-06
87-81,Sm-150,ENDF VII.0 + mod-Wright,2.19E-04
87-81,Sm-151,ENDF VII.0 + mod-Wright,8.31E-06
87-81,Sm-152,ENDF VII.0 + mod-Wright,9.50E-05
87-81,Sm-154,ENDF VII.0 + mod-Wright,2.74E-05
87-81,Eu-151,ENDF VII.0 + mod-Wright,8.93E-07
87-81,Eu-152,ENDF VII.0 + mod-Wright,9.05E-09
87-81,Eu-153,ENDF VII.0 + mod-Wright,9.04E-05
87-81,Eu-154,ENDF VII.0 + mod-Wright,4.96E-06
87-81,Eu-155,ENDF VII.0 + mod-Wright,8.96E-07
87-81,Gd-154,ENDF VII.0 + mod-Wright,1.13E-05
87-81,Gd-155,ENDF VII.0 + mod-Wright,5.08E-06
87-81,Gd-156,ENDF VII.0 + mod-Wright,5.05E-05
87-81,Gd-158,ENDF VII.0 + mod-Wright,1.10E-05
87-81,Gd-160,ENDF VII.0 + mod-Wright,7.61E-07
87-81,Tc-99,ENDF VII.0 + mod-Wright,6.74E-04
87-81,Sr-90,ENDF VII.0 + mod-Wright,3.91E-04
87-81,U-234,ENDF VII.0 + mod-Mughabghab v1,1.81E-04
87-81,U-235,ENDF VII.0 + mod-Mughabghab v1,9.59E-03
87-81,U-236,ENDF VII.0 + mod-Mughabghab v1,3.62E-03
87-81,U-238,ENDF VII.0 + mod-Mughabghab v1,9.50E-01
87-81,Pu-238,ENDF VII.0 + mod-Mughabghab v1,1.03E-04
87-81,Pu-239,ENDF VII.0 + mod-Mughabghab v1,4.95E-03
87-81,Pu-240,ENDF VII.0 + mod-Mughabghab v1,1.97E-03
87-81,Pu-241,ENDF VII.0 + mod-Mughabghab v1,7.48E-04
87-81,Pu-242,ENDF VII.0 + mod-Mughabghab v1,3.09E-04
87-81,Np-237,ENDF VII.0 + mod-Mughabghab v1,3.16E-04
87-81,Am-241,ENDF VII.0 + mod-Mughabghab v1,2.74E-04
87-81,Cs-133,ENDF VII.0 + mod-Mughabghab v1,9.60E-04
87-81,Cs-134,ENDF VII.0 + mod-Mughabghab v1,1.13E-05
87-81,Cs-135,ENDF VII.0 + mod-Mughabghab v1,4.27E-04
87-81,Cs-137,ENDF VII.0 + mod-Mughabghab v1,8.57E-04
87-81,Nd-143,ENDF VII.0 + mod-Mughabghab v1,6.95E-04
87-81,Nd-144,ENDF VII.0 + mod-Mughabghab v1,1.05E-03
87-81,Nd-145,ENDF VII.0 + mod-Mughabghab v1,5.67E-04
87-81,Nd-146,ENDF VII.0 + mod-Mughabghab v1,5.59E-04
87-81,Nd-148,ENDF VII.0 + mod-Mughabghab v1,3.01E-04
87-81,Nd-150,ENDF VII.0 + mod-Mughabghab v1,1.43E-04
87-81,Sm-147,ENDF VII.0 + mod-Mughabghab v1,2.47E-04
87-81,Sm-148,ENDF VII.0 + mod-Mughabghab v1,9.79E-05
87-81,Sm-149,ENDF VII.0 + mod-Mughabghab v1,2.07E-06
87-81,Sm-150,ENDF VII.0 + mod-Mughabghab v1,2.19E-04
87-81,Sm-151,ENDF VII.0 + mod-Mughabghab v1,8.31E-06
87-81,Sm-152,ENDF VII.0 + mod-Mughabghab v1,9.50E-05
87-81,Sm-154,ENDF VII.0 + mod-Mughabghab v1,2.74E-05
87-81,Eu-151,ENDF VII.0 + mod-Mughabghab v1,8.93E-07
87-81,Eu-152,ENDF VII.0 + mod-Mughabghab v1,9.05E-09
87-81,Eu-153,ENDF VII.0 + mod-Mughabghab v1,9.04E-05
87-81,Eu-154,ENDF VII.0 + mod-Mughabghab v1,5.31E-06
87-81,Eu-155,ENDF VII.0 + mod-Mughabghab v1,8.75E-07
87-81,Gd-154,ENDF VII.0 + mod-Mughabghab v1,1.21E-05
87-81,Gd-155,ENDF VII.0 + mod-Mughabghab v1,4.96E-06
87-81,Gd-156,ENDF VII.0 + mod-Mughabghab v1,4.95E-05
87-81,Gd-158,ENDF VII.0 + mod-Mughabghab v1,1.10E-05
87-81,Gd-160,ENDF VII.0 + mod-Mughabghab v1,7.61E-07
87-81,Tc-99,ENDF VII.0 + mod-Mughabghab v1,6.74E-04
87-81,Sr-90,ENDF VII.0 + mod-Mughabghab v1,3.91E-04
87-81,U-234,ENDF VII.1,1.81E-04
87-81,U-235,ENDF VII.1,9.56E-03
87-81,U-236,ENDF VII.1,3.62E-03
87-81,U-238,ENDF VII.1,9.51E-01
87-81,Pu-238,ENDF VII.1,1.13E-04
87-81,Pu-239,ENDF VII.1,4.88E-03
87-81,Pu-240,ENDF VII.1,1.94E-03
87-81,Pu-241,ENDF VII.1,7.46E-04
87-81,Pu-242,ENDF VII.1,3.17E-04
87-81,Np-237,ENDF VII.1,3.12E-04
87-81,Am-241,ENDF VII.1,2.69E-04
87-81,Cs-133,ENDF VII.1,9.63E-04
87-81,Cs-134,ENDF VII.1,1.10E-05
87-81,Cs-135,ENDF VII.1,4.27E-04
87-81,Cs-137,ENDF VII.1,8.57E-04
87-81,Nd-143,ENDF VII.1,6.95E-04
87-81,Nd-144,ENDF VII.1,1.05E-03
87-81,Nd-145,ENDF VII.1,5.73E-04
87-81,Nd-146,ENDF VII.1,5.53E-04
87-81,Nd-148,ENDF VII.1,3.01E-04
87-81,Nd-150,ENDF VII.1,1.43E-04
87-81,Sm-147,ENDF VII.1,2.47E-04
87-81,Sm-148,ENDF VII.1,9.82E-05
87-81,Sm-149,ENDF VII.1,2.06E-06
87-81,Sm-150,ENDF VII.1,2.19E-04
87-81,Sm-151,ENDF VII.1,8.30E-06
87-81,Sm-152,ENDF VII.1,9.48E-05
87-81,Sm-154,ENDF VII.1,2.74E-05
87-81,Eu-151,ENDF VII.1,8.91E-07
87-81,Eu-152,ENDF VII.1,8.98E-09
87-81,Eu-153,ENDF VII.1,8.83E-05
87-81,Eu-154,ENDF VII.1,5.80E-06
87-81,Eu-155,ENDF VII.1,8.84E-07
87-81,Gd-154,ENDF VII.1,1.32E-05
87-81,Gd-155,ENDF VII.1,5.01E-06
87-81,Gd-156,ENDF VII.1,5.01E-05
87-81,Gd-158,ENDF VII.1,1.10E-05
87-81,Gd-160,ENDF VII.1,7.60E-07
87-81,Tc-99,ENDF VII.1,6.80E-04
87-81,Sr-90,ENDF VII.1,3.91E-04
87-81,U-234,ENDF VII.1 + mod-Mughabghab v1,1.81E-04
87-81,U-235,ENDF VII.1 + mod-Mughabghab v1,9.56E-03
87-81,U-236,ENDF VII.1 + mod-Mughabghab v1,3.62E-03
87-81,U-238,ENDF VII.1 + mod-Mughabghab v1,9.51E-01
87-81,Pu-238,ENDF VII.1 + mod-Mughabghab v1,1.13E-04
87-81,Pu-239,ENDF VII.1 + mod-Mughabghab v1,4.88E-03
87-81,Pu-240,ENDF VII.1 + mod-Mughabghab v1,1.94E-03
87-81,Pu-241,ENDF VII.1 + mod-Mughabghab v1,7.46E-04
87-81,Pu-242,ENDF VII.1 + mod-Mughabghab v1,3.17E-04
87-81,Np-237,ENDF VII.1 + mod-Mughabghab v1,3.12E-04
87-81,Am-241,ENDF VII.1 + mod-Mughabghab v1,2.69E-04
87-81,Cs-133,ENDF VII.1 + mod-Mughabghab v1,9.63E-04
87-81,Cs-134,ENDF VII.1 + mod-Mughabghab v1,1.10E-05
87-81,Cs-135,ENDF VII.1 + mod-Mughabghab v1,4.27E-04
87-81,Cs-137,ENDF VII.1 + mod-Mughabghab v1,8.57E-04
87-81,Nd-143,ENDF VII.1 + mod-Mughabghab v1,6.95E-04
87-81,Nd-144,ENDF VII.1 + mod-Mughabghab v1,1.05E-03
87-81,Nd-145,ENDF VII.1 + mod-Mughabghab v1,5.73E-04
87-81,Nd-146,ENDF VII.1 + mod-Mughabghab v1,5.53E-04
87-81,Nd-148,ENDF VII.1 + mod-Mughabghab v1,3.01E-04
87-81,Nd-150,ENDF VII.1 + mod-Mughabghab v1,1.43E-04
87-81,Sm-147,ENDF VII.1 + mod-Mughabghab v1,2.47E-04
87-81,Sm-148,ENDF VII.1 + mod-Mughabghab v1,9.82E-05
87-81,Sm-149,ENDF VII.1 + mod-Mughabghab v1,2.06E-06
87-81,Sm-150,ENDF VII.1 + mod-Mughabghab v1,2.19E-04
87-81,Sm-151,ENDF VII.1 + mod-Mughabghab v1,8.30E-06
87-81,Sm-152,ENDF VII.1 + mod-Mughabghab v1,9.48E-05
87-81,Sm-154,ENDF VII.1 + mod-Mughabghab v1,2.74E-05
87-81,Eu-151,ENDF VII.1 + mod-Mughabghab v1,8.91E-07
87-81,Eu-152,ENDF VII.1 + mod-Mughabghab v1,8.98E-09
87-81,Eu-153,ENDF VII.1 + mod-Mughabghab v1,8.83E-05
87-81,Eu-154,ENDF VII.1 + mod-Mughabghab v1,5.51E-06
87-81,Eu-155,ENDF VII.1 + mod-Mughabghab v1,9.01E-07
87-81,Gd-154,ENDF VII.1 + mod-Mughabghab v1,1.25E-05
87-81,Gd-155,ENDF VII.1 + mod-Mughabghab v1,5.11E-06
87-81,Gd-156,ENDF VII.1 + mod-Mughabghab v1,5.09E-05
87-81,Gd-158,ENDF VII.1 + mod-Mughabghab v1,1.10E-05
87-81,Gd-160,ENDF VII.1 + mod-Mughabghab v1,7.60E-07
87-81,Tc-99,ENDF VII.1 + mod-Mughabghab v1,6.80E-04
87-81,Sr-90,ENDF VII.1 + mod-Mughabghab v1,3.91E-04
